Survived,Pclass,Fare,AgeGroup,FareBuckets,FamilySize,Sex_female,Sex_male,EmbarkedImputed_C,EmbarkedImputed_Q,EmbarkedImputed_S,Floor_A,Floor_B,Floor_C,Floor_D,Floor_E,Floor_F,Floor_G,Floor_Ground Floor,Floor_T,Title_Master.,Title_Miss.,Title_Mr.,Title_Mrs.,Title_Other Titles
0,3,7.25,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,71.2833,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,3,7.925,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,1,53.1,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,3,8.05,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,3,8.4583,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,51.8625,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,3,21.075,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,3,11.1333,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,2,30.0708,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,3,16.7,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,1,26.55,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,3,8.05,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,3,31.275,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,3,7.8542,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,2,16.0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,3,29.125,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,2,13.0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,3,18.0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,3,7.225,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,2,26.0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,2,13.0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,3,8.0292,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,1,35.5,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,21.075,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,3,31.3875,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,3,7.225,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,263.0,1,3,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,3,7.8792,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,3,7.8958,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,27.7208,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,146.5208,2,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,3,7.75,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,2,10.5,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,82.1708,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,52.0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,3,7.2292,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,3,8.05,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,3,18.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,3,11.2417,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,3,9.475,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,2,21.0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,3,7.8958,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,2,41.5792,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,3,7.8792,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,3,8.05,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,3,15.5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,3,7.75,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,3,21.6792,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,3,17.8,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,3,39.6875,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,3,7.8,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,76.7292,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,2,26.0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,61.9792,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,35.5,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,10.5,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,3,7.2292,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,2,27.75,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,3,46.9,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,3,7.2292,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
